tweet,tweet_processed,5epoch_model,7epoch_model,15epoch_model,100epoch_model
"She is just as much a low-life as her master.
The most disgusting woman in that parliament.",much master disgusting woman parliament,-0.03772663,0.41884273,-0.3049592,0.040751915
"Modiâ€™s US visit sends a big, if quiet, signal to China

Though the White House downplays it, Prime Minister Narendra Modiâ€™s swing through Washington is about enhancing a partnership that includes stopping Beijingâ€™s aggressive expansion.",us visit sends big quiet signal china though white house downplays prime minister narendra swing washington enhancing partnership includes stopping aggressive expansion,0.10281691,0.7241225,-0.023278499,0.99729043
"There is a significant chance that yesterday's Modi's visit would be remembered in future as a very important point for India rising economy in a good way, as it was during Deng's visit 1979",significant chance yesterday modi visit would remembered future important point india rising economy good way deng visit 1979,-0.58631337,-0.27283666,0.90351117,0.9981837
"Well, maybe. India is very suspicious about becoming allied with any nation, let alone the US. They've always coveted their non-aligned status, so something big must be convincing India they have to start picking a side. Who knows if they see something more than we're seeing.",well maybe india suspicious becoming allied nation let alone us always coveted status something big must convincing india start picking side knows see something seeing,0.24459738,0.78358763,0.2722279,0.9917294
He made several references to Indo PAC security and threats ,made several references indo pac security threats,-0.010219018,0.07285129,-0.09963729,0.014366608
I love Modi,love modi,-0.24996047,-0.34544364,-0.2996345,0.014366608
Wet dream.,wet dream,-0.01997783,-0.013090356,-0.13427508,0.014366608
"Feel sorry for US, people will know after 10 years.",feel sorry us people know 10 years,0.2231798,0.3818822,-0.14043993,0.09703857
"Unless India agrees to let US occupies 300 military bases on their territory, there is no way that India can match China PLA.",unless india agrees let us occupies 300 military bases territory way india match china pla,-0.17614727,-0.056698225,-0.1836934,0.020428447
"Don't be over excited, India is playing its own game.",excited india playing game,-0.02760427,0.21823624,-0.5080063,0.021373145
he is also scheduled to visit france soon for more strategic talks and deals. around 14th july.,also scheduled visit france soon strategic talks deals around 14th july,-0.1381187,0.024305362,-0.12468287,0.014673688
"lol, who in the world takes india seriously? Its not even a civilized place",lol world takes india seriously even civilized place,-0.19326836,-0.30742735,0.017965132,0.014366608
"The dedollarization drive is facing a confidence crisis as the yuan, ruble and Argentine peso simultaneously plummet.",dedollarization drive facing confidence crisis yuan ruble argentine peso simultaneously plummet,-0.009871636,-0.17955582,-0.13383372,0.020208228
"To get a US State visit Modi not only agreed to an exorbitant drone deal with a US company, but also agreed to subsidise 70% of the cost of a private US company setting up a chip assembling plant in Gujarat. Micron will hold 100 percent ownership in a plant costing $2.75 billion, in which they would have invested would have invested only 0.825 billion!",get us state visit modi agreed exorbitant drone deal us company also agreed subsidise 70 cost private us company setting chip assembling plant gujarat micron hold 100 percent ownership plant costing billion would invested would invested billion,0.25922695,0.9681237,-0.2962074,0.05127976
Bad Deal,bad deal,0.16377741,0.23899335,-0.020472378,0.014366608
"Instead of Tweets any corrupt action can be brought to the notice of courts with facts, rather, when you try to paint Modi as corrupt it doesn't gets response from public. his honesty has been endorsed by Gujrat and Nation 5-6 times.",instead tweets corrupt action brought notice courts facts rather try paint modi corrupt gets response public honesty endorsed gujrat nation times,-0.044226002,-0.5502318,-0.80014247,-0.8893291
yes!,yes,-0.017719299,-0.0036858865,-0.13623185,0.014366608
Idiot Alert !!!,idiot alert,0.22845457,0.28817317,0.02856257,0.014366608
"Anybody can get a state visit for 2.8B$ ?  Specially when the host country gdp is nearly 24T$â€¦.
Quality of discourse and arguments from this man is getting bad to worse 
Guess that shows the quality of lawyers and their argumentsâ€¦.",anybody get state visit specially host country gdp nearly 24t quality discourse arguments man getting bad worse guess shows quality lawyers,0.36763954,0.9157971,0.24662173,0.99452096
"Human, humanness, and what's next? Humanism or dehumanization?",human humanness next humanism dehumanization,-0.11127405,-0.10236336,-0.16476445,0.014366608
Reality.,reality,-0.027870275,-0.0048031593,-0.16837706,0.014366608
"For once, just once, get your head out of the fogg of hate surrounding you and think for the country.",get head fogg hate surrounding think country,0.37113136,0.46332157,-0.27629393,0.14825346
"Indiaâ€™s semiconductor journey started with Punjab in 1974. The Department of Electronics (DoE) realised that India needed to develop capacity in semiconductor design and fabrication, initially with foreign help. ",semiconductor journey started punjab department electronics doe realised india needed develop capacity semiconductor design fabrication initially foreign help,-0.06638937,0.0109860655,-0.16081025,-0.56229705
"Prashant ji your day starts in the name of Modi ji & ends in the Modi ji

How much time you waste in remembering Modi ji, if you use this time to make CONG a good party then CONG would not lost 2014 & 2019 Lok Sabha elections",prashant ji day starts name modi ji ends modi ji much time waste remembering modi ji use time make cong good party cong would lost 2014 2019 lok sabha elections,-0.25317135,0.5990967,0.8579696,0.9986829
"Please donâ€™t stop him. 
Such people are the unpaid agents who inspire millions of people to keep Voting @narendramodi ji to power.
Modi jiâ€™s biggest strength is his critics. His critics inspire his supporters.",please stop people unpaid agents inspire millions people keep voting narendramodi ji power modi biggest strength critics critics inspire supporters,-0.1732228,-0.16236435,-0.0981933,0.033245742
Akal ke dushman,akal ke dushman,-0.037048846,0.029706234,-0.16823128,0.014366608
Surya uday 2014 ke baad hi hua hai; Ek andh bhakt ki sooch se....Soochalaya mein apna waqt zaya karten hain. It is good we are getting new investment in India- kya hua agar Modi promote Gujrat  for the luv of his birth place where the free  port is controlled by his dear friend.,surya uday 2014 ke baad hi hua hai ek andh bhakt ki sooch se soochalaya mein apna waqt zaya karten hain good getting new investment kya hua agar modi promote gujrat luv birth place free port controlled dear friend,-0.069584005,0.95082945,0.5511163,0.99805903
75 saal pehle yeh technology hi nahin thi. Sir.,75 saal pehle yeh technology hi nahin thi sir,0.015911242,-0.08310208,-0.11433549,0.014366608
"Being a lawyer, people hope better than this. 
1. Semiconductors are the future and the tech is tightly governed by a few countries. If Bharat has to grow, it has to put something on the table.
2. There's no free investment! It's always you scratch my back and I'll scratch yours!",lawyer people hope better semiconductors future tech tightly governed countries bharat grow put something table free investment always scratch back scratch,0.15190938,0.7898313,0.3433811,0.99810886
Do you ever not get tired of lying and spreading misinformation?? How do you even live with yourself after constantly lying,ever get tired lying spreading misinformation even live constantly lying,-0.24120763,-0.14192294,0.45661816,0.86347014
Dimaag hai ya  bhari Hui hai.,dimaag hai ya bhari hui hai,-0.07004369,-0.105716266,-0.1384221,0.014366608
"Normal man visit other country by paying a ticket price. For Modi ji visit, the whole country pay for his ticket",normal man visit country paying ticket price modi ji visit whole country pay ticket,-0.32424256,-0.47515473,0.25465605,0.99795675
Chorr chowkidaar,chorr chowkidaar,0.03204449,0.061395865,-0.085558034,0.014366608
Whatever you tweet blaming Modi Congress will never be able to rule India !! Congress is on the verge of collapse !!,whatever tweet blaming modi congress never able rule india congress verge collapse,-0.11529077,-0.13362214,-0.14020395,0.014366608
It's Sangh's policy to keep others out of reach of power at any cost. Fascists desire control over country's resources at the cost of littering mass. Thousands of years of slavery nubbed spirit of resistance. It will take couple of decades if not century more to assert. Till then,sangh policy keep others reach power cost fascists desire control country resources cost littering mass thousands years slavery nubbed spirit resistance take couple decades century assert till,-0.21315765,-0.23432803,0.27323103,-0.11319858
Desperate bigots trying their last resort,desperate bigots trying last resort,0.14037576,0.1820868,-0.21686625,0.014366608
"In Gujarati we have a saying that as long as it is not coming out of your own pockets , enjoy . We call it â€œkiske Baap ki Divaliâ€.
Modi has all the worst qualities of a Gujarati.",gujarati saying long coming pockets enjoy call baap ki modi worst qualities gujarati,-0.09983973,0.094902426,-0.2277642,0.17302181
what he did was great. you do nothing but bring the country down,great nothing bring country,-0.5317866,-0.4729036,-0.19386204,0.014366608
It is but natural a little bit of insanity to develop when one greys,natural little bit insanity develop one greys,-0.25239283,-0.32365963,-0.1870396,0.02317296
at this rate the country will go bankrupt sooner than later we the people who elected him are to blame save the country from the clutches of bjp so future generations are safe,rate country go bankrupt sooner later people elected blame save country clutches bjp future generations safe,-0.015844643,-0.07082606,-0.64544386,0.28182474
"Earlier failed lawyer, now failed troll too!",earlier failed lawyer failed troll,0.46731925,0.6835733,-0.15050745,0.26210883
You are suffering from anti India phobia. Don't see anything good happening in India don't want India to do well. What a person.,suffering anti india phobia see anything good happening india want india well person,-0.50587976,-0.55220765,0.7743135,0.99781907
"Probably forgotten terrific thrashing of the journalist   intermittently it will be reminded to you 
as regards Modi ji, he is the second Swami Vivekananda of Bharat Mata Ji  
Just don't forget you JUNK ",probably forgotten terrific thrashing journalist intermittently reminded regards modi ji second swami vivekananda bharat mata ji forget junk,-0.16101296,-0.0237344,-0.11416167,0.03313777
Moorakh- u think Gujju Modi is so silly? Doubt it. He would have gotten some dhoklaâ€™s for free with that drone deal and all the hightec gadgets thrown in.,u think gujju modi silly doubt would gotten free drone deal hightec gadgets thrown,-0.11955548,-0.16772506,-0.6064751,0.97929007
"Yes we know communists wants to enjoy luxury by keeping larger population hand to mouth /Poor so they can rule ,earn ,Enjoy privilege on the cost of hate, violence, division in society,Where industrial and knowledge economy going to empower every hardworking citizens",yes know communists wants enjoy luxury keeping larger population hand mouth rule earn enjoy privilege cost hate violence division society industrial knowledge economy going empower every hardworking citizens,0.77810925,0.96393025,0.53788626,0.99961025
I totally support the Govt on this chip assembling plant. Why do we need Govt PSUs for this which have to fed with salaries in Central Govt Budget for several years to come.,totally support govt chip assembling plant need govt psus fed salaries central govt budget several years come,-0.015263971,0.06971137,-0.04472697,0.031744294
"Very poor quality tweet itâ€™s not at all relevant & being PB you should maintain little quality in your oppose. Going below dignity, do not die poor minds deathâ€¦.",poor quality tweet relevant pb maintain little quality oppose going dignity die poor minds,0.21848941,0.11361511,-0.39479148,-0.49138382
"Your comments remind me of a saying in telugu. Snake has venom in its jaws, but the evil men would have venom in entire body.",comments remind saying telugu snake venom jaws evil men would venom entire body,0.018894134,0.1218862,0.024581505,-0.043762833
 this guy is just ridiculous!,guy ridiculous,-0.025430998,-0.019982299,-0.3240137,0.014366608
"Hahaha sour grapes, old man is at it, false propaganda!",hahaha sour grapes old man false propaganda,-0.017432995,0.1296808,-0.76250875,-0.066179
What a self created illusion?  Linking state visit of Indian PM with setting up of Hi Tech projects by defies logic   What about state visits of Our ExPMs Nehru Indira Gandhi  Manmohan Singh?    It is India which will benefit by such projects in Our country,self created illusion linking state visit indian pm setting hi tech projects defies logic state visits expms nehru indira gandhi manmohan singh india benefit projects country,-0.122715116,-0.08074667,-0.13547465,0.0500488
Go and file a case in SC. U will get the slap from SC.,go file case sc u get slap sc,0.06931937,0.08914438,-0.10266452,0.019191716
"Nobody can beat you in crooked thinking!! Keep it up, good for you.",nobody beat crooked thinking keep good,-0.33542606,-0.5128416,-0.8239238,0.3247382
"And of course you are the expert in everything.  All you know is to rant with half information.  Suggest you be in your cabin and not air your opinions, otherwise maybe someone will come then to shake you up again.",course expert everything know rant half information suggest cabin air opinions otherwise maybe someone come shake,-0.3505769,-0.3395201,0.030554453,0.99321723
"ha ha !
did someone ask for your (unsolicited) comments in this matter ?
just chill, don't be a KHAM KHA",ha ha someone ask unsolicited comments matter chill kham kha,-0.100544244,-0.19488937,-0.3115918,0.009433592
@MoHFW_INDIA kindly send this specimen to asylum for quality treatmentâ€¦! Needs it very urgently..,kindly send specimen asylum quality needs urgently,-0.24452634,-0.45243168,-0.30544883,0.014338297
"Limit of shamelessness! How long you have beef misleading people and how many more years you want to do the same? Donâ€™t you have conscience?
",limit shamelessness long beef misleading people many years want conscience,-0.3894882,-0.31472483,0.3514339,0.96723294
In your dreams Modi haunts you and you always try to find fault with the greatest man of India,dreams modi haunts always try find fault greatest man india,-0.310614,-0.2978132,-0.20902446,0.9426413
From where you get these data? You are one of the biggest lairs in the country.,get data one biggest lairs country,-0.18727167,-0.16635011,-0.1770984,0.014366608
"Prashant..time n again you bcm the kin of Guhyam story teller..

Say Rama Rama.....you get a good send off.

Poor chap...not so bhushan for himself.",prashant time n bcm kin guhyam story teller say rama rama get good send poor chap bhushan,-0.30376863,0.113165006,-0.035066616,0.98243064
"Bhaisahib, bas bhi karo. We are fed up with your daily dose of sarcasm. Kejriwal saw you through early enough. And he did the right thing....sent you packing out of AAP.",bhaisahib bas bhi karo fed daily dose sarcasm kejriwal saw early enough right thing sent packing aap,-0.41728622,-0.3272231,0.73317873,0.9772219
You are the most irrelevant person in the earth now,irrelevant person earth,-0.1049307,-0.16569117,-0.11779905,0.014366608
Ridiculous. Whom are you fooling,ridiculous fooling,0.08587652,0.088287115,-0.058363292,0.014366608
"If you think the US's interest is in getting subsidized chip manufacturing outside of the US and in a region closest to China with the current relationship the US Govt. shares with India and China, there is no value in you attempting to understand geopolitics.",think us interest getting subsidized chip manufacturing outside us region closest china current relationship us govt shares india china value attempting understand geopolitics,-0.2832,-0.3078416,-0.08948437,0.030692512
CRITICISM HAS LESS EFFECT OR NO EFFECT ON A DANGEROUS CRIMINAL FROM A POINT OF NO RETURN UNLESS YOU FINISH HIM  UNDER SYSTEM OF LAWS   OR MAKING  NEW LAWS  TO CRUSH HIS WORST  DESIGN GETTING PEOPLE SUPPORT TO FORM NEW SYSTEM OF GOVERNANCE.BUT YOU ARE NOT DOING IT OR  INCAPABLE.,criticism less effect effect dangerous criminal point return unless finish system laws making new laws crush worst design getting people support form new system incapable,-0.88882303,-0.954952,-0.80519056,-0.8855173
"Dear sir,
Your propaganda against your own govt and country will haunt you, and the future generations of yours. They only will disown you at some point in time. People no longer get fooled by your discourses now. Why donâ€™t you take the govt to SC, in that case?",dear sir propaganda govt country haunt future generations disown point time people longer get fooled discourses take govt sc case,-0.22241136,-0.14506912,-0.15157267,0.03409414
"Sounds a Gujrati is the most selfish human on earth, of course exceptions r always there, what a race to be born,  a boon or a curse Lord only knows. AMEN !!  al sudershan",sounds gujrati selfish human earth course exceptions r always race born boon curse lord knows amen al sudershan,-0.07463829,0.0800347,-0.116996594,0.102707066
Your heart and â€˜what notâ€™ burns if Modi does something. Why dont you ask yr friend Soros to invest in a Congress ruled state. It is because of people like u that India has not developed in the last 70 yrs of congress rule. Kejri was right when he used his foot for Ga....pe..,heart burns modi something dont ask yr friend soros invest congress ruled state people like u india developed last 70 yrs congress rule kejri right used foot ga pe,-0.40511966,-0.5508737,0.89341974,0.99847573
SO  U DONT  WANT A GOOD DEFENCE FOR INDIA  HELLO  ARE U A BUSSINESS MAN THEN TALK,u dont want good defence india hello u bussiness man talk,-0.5105414,-0.41289574,0.3178235,0.99954295
"No commission to you ,your owner Pappu & XJP.

",commission owner pappu xjp,0.011344099,0.058786698,-0.113940164,0.014366608
Read this to know the truth of the Micron deal inked in the recent US visit of PM Modi.,read know truth micron deal inked recent us visit pm modi,-0.17068006,-0.349381,-0.13324997,0.017467031
Thank you for sharing this Pawan Sir ,thank sharing pawan sir,-0.1536798,0.04288321,-0.17211674,0.014366608
Only Thankyou ,thankyou,-0.01523872,0.0032897484,-0.104962915,0.014366608
What happened ? You are complaining that there was no middleman or kickback ?,happened complaining middleman kickback,0.11604766,0.25200498,-0.34181488,0.014366608
Thume gaali galooch chod ke ee sab suit Naha kartha hai yaar. Thumari samaj ke bahar wali baathe kyu karthe ho?,thume gaali galooch chod ke ee sab suit naha kartha hai yaar thumari samaj ke bahar wali baathe kyu karthe ho,0.21374893,0.13822074,-0.14523217,0.075496614
My hunch...RG's today's press conference will be on this issue..,hunch rg today press conference issue,-0.13206388,-0.10871218,-0.15973757,0.014366608
The question that you must be asking is how come we are not even manufacturing and assembling. Design and fabrication is further on the curve. Then you know we need FDI. The dollars I mean. Surely you should know that! Come on! We went bankrupt once remember.,question must asking come even manufacturing assembling design fabrication curve know need fdi dollars mean surely know come went bankrupt remember,-0.094787635,0.12638973,-0.05954115,-0.81571305
"PAPPU fir se Disqualified ho gaya 
.",pappu fir se disqualified ho gaya,0.19644673,0.33275044,-0.105259046,0.025046967
"SHOCKING!
Modi Govt used â‚¹1751 crores of public money to enrich an American company for Modi's PR:
During his US visit, Modi signed a deal with the firm Micron for establishing a facility in Gujarat
The deal is worth $2.7 bn i.e. â‚¹2274 crores
But here's the catch  The Micron deal is merely for assembling & testing semiconductor chips
 Assembling requires ZERO technological knowledge or transfer. It contributes NOTHING to India's semiconductor vision
 Micron benefits from cheap Indian labor & reduces its China exposure
But Modi Govt has shockingly subsidized & enriched Micron from public money:
 Of the â‚¹2274 crore deal, govt will contribute 70% i.e. â‚¹1571 crores
 Micron will contribute 30% i.e. ONLY â‚¹682 crores
And yet, Micron will OWN 100% of the plant with ZERO govt stake.Therefore,
 Micron gets to reduce its chip assembly costs & its business risk from China. This allows Micron to make extra millions in profit
 India gets to ONLY assemble the chips i.e. no technology transfer & no specialized knowledge
Who benefits: ONLY Micron. Despite investing 70% i.e. â‚¹1571 crores of public money, India will get ZERO stake in the Micron plant
 Micron gets 100% of an Indian plant worth â‚¹2274 crore ONLY by paying â‚¹682 crore
Why is the Indian exchequer losing â‚¹1571 crores to favor a private US company?Contrary to claims by Min @AshwiniVaishnaw, this plant does NOT benefit India's knowledge of semiconductor design or manufacturing.
It only outsources assembling of chips with no technological/design know-how.
Modi Govt WASTED â‚¹1571 crores purely for Modi's foreign PR
",shocking modi govt used crores public money enrich american company modi pr us visit modi signed deal firm micron establishing facility gujarat deal worth bn crores catch micron deal merely assembling testing semiconductor chips assembling requires zero technological knowledge transfer contributes nothing india semiconductor vision micron benefits cheap indian labor reduces china exposure modi govt shockingly subsidized enriched micron public money crore deal govt contribute 70 crores micron contribute 30 crores yet micron 100 plant zero govt micron gets reduce chip assembly costs business risk china allows micron make extra millions profit india gets assemble chips technology transfer specialized knowledge benefits micron despite investing 70 crores public money india get zero stake micron plant micron gets 100 indian plant worth crore paying crore indian exchequer losing crores favor private us company contrary claims min ashwinivaishnaw plant benefit india knowledge semiconductor design manufacturing outsources assembling chips modi govt wasted crores purely modi foreign pr,-0.41125822,0.9340276,0.525473,0.9726228
"For more details, check out this insightful article by Prabir Purkayastha of @newsclickin in @asiatimesonline:",details check insightful article prabir purkayastha newsclickin asiatimesonline,-0.037981205,-0.34325084,-0.16223504,0.014366608
"I don't mind the nature of the factory - if it's low-knowledge high-labour, so be it. We have abundance of labour. What bothers me about the deal is the skewed equity to ownership ratio. There's something seriously wrong there and needs a deep dive.",mind nature factory abundance labour bothers deal skewed equity ownership ratio something seriously wrong needs deep dive,0.35781324,0.47234824,-0.66057575,-0.5370938
I hope you have been admitted to a good hospital and recovering well,hope admitted good hospital recovering well,-0.4486463,-0.47757822,0.20866337,0.91372824
"Yes it is indeed a great deal for Micon, with GOI and Gujarat Government putting in much much more than Micon.

And yes, it is the lowest bucket on the technology side .

But in another sense, this is the area that is manpower oriented. And sort of fits in well for Assemblyâ€¦Â Show more",yes indeed great deal micon goi gujarat government putting much much micon yes lowest bucket technology side another sense area manpower oriented sort fits well show,0.6687786,0.96084,0.82977414,0.99770576
"This looks like the public money has been misused for the loss of the country.
This is not a good deal for the country.",looks like public money misused loss country good deal country,-0.39089665,-0.4683779,0.35578394,0.99156636
"From which angle?
What do you know about semi conducters?",angle know semi conducters,-0.0396597,-0.035875104,-0.15184736,0.014366608
This only proves one thing that even if you have the money tech cannot be bought off the shelf. It is closely guarded & controlled by big corps & Govts. The Micron deal is heavily subsidised by GOI for low end tech raising eyebrows internationally. It may be a catch 22 for us,proves one thing even money tech bought shelf closely guarded controlled big corps govts micron deal heavily subsidised goi low end tech raising eyebrows internationally may catch 22 us,0.29575902,0.55884707,-0.4771844,0.06288289
"Donâ€™t think there would be anyone sane enough to invite or take the risk to take your â€œadviseâ€. For a party which is notorious for ensuring the people of West Bengal are left with no business wiling to set up their shop, itâ€™s funny how you preach the world about â€œbusinessâ€ !â€¦Â Show more",think would anyone sane enough invite take risk take party notorious ensuring people west bengal left business wiling set shop funny preach world show,-0.41212058,-0.42786047,-0.097547375,0.9948535
"17 or 15.. Anyhoo if the government invests and has no equity of sorts, then that can mean only one thing..
Cashing out.. In preparation of next year maybe..",17 15 anyhoo government invests equity sorts mean one thing cashing preparation next year maybe,-0.04313977,0.091063075,-0.36272126,0.028407024
"Well researched Sir.

But our AAndbhakt do not understand this.",well researched sir aandbhakt understand,-0.03220731,0.12743905,-0.11064089,0.014366608
Unroll @threadreaderapp,unroll threadreaderapp,-0.016244859,-0.0015667051,-0.15252532,0.014366608
All investments going to Gujarat. Hmmm.,investments going gujarat hmmm,-0.052051898,0.029044012,-0.28424436,0.014366608
"with this kind of though, hardly any industry will ever come to WB.",kind though hardly industry ever come wb,-0.21713239,-0.21466312,-0.113281555,0.014366608
Please go through this thread.  Chip making.  #Chipmaking @DarthThunderous,please go thread chip making chipmaking darththunderous,0.15088072,0.112383105,-0.11581442,0.014366608
har scam pe jai shri ram n bharat mata ki jai likhna mandatory hai. Nai likhne pe SCAM mana jaayega,har scam pe jai shri ram n bharat mata ki jai likhna mandatory hai nai likhne pe scam mana jaayega,-0.00784066,-0.04736686,-0.13823475,0.03556193
Bhai woh 1571 kahin toh jaa raha hain kaam me. Congress aur TMC wale toh isko apna tijori me daal lete,bhai woh 1571 kahin toh jaa raha hain kaam congress aur tmc wale toh isko apna tijori daal lete,0.03922917,0.12112582,-0.12074243,0.034252718
Nahi re pagle..shocking was what u did with the pubic money u accumulated...,nahi pagle shocking u pubic money u accumulated,0.08881109,0.18321097,-0.11351661,0.014366608
"DOJ  should investigate if there were any bribes were paid . 
The Foreign Corrupt Practices Act (FCPA) of 1977 prohibits the payment of bribes to foreign officials to assist in obtaining or retaining business.",doj investigate bribes paid foreign corrupt practices act fcpa 1977 prohibits payment bribes foreign officials assist obtaining retaining business,-0.33899233,-0.8681523,-0.8847674,-0.68867075
What about the jobs that it will create?,jobs create,0.028323952,0.1271373,-0.26376548,0.014366608
Modi thats why made bhakts,modi thats made bhakts,-0.06307164,0.02544669,-0.19062115,0.014366608
It's time for a change of govt,time change govt,-0.06382559,-0.08430278,-0.1896282,0.014366608
Tu fir aa gaya g00  khake,tu fir aa gaya g00 khake,0.1434013,0.14684859,-0.11349319,0.017274447
@MumbaichaDon bolti bandh hai kya teri,mumbaichadon bolti bandh hai kya teri,-0.07940686,-0.018528327,-0.14706258,0.014366608
"it is over 22,000 crores, there is typo , please correct",crores typo please correct,-0.06146832,0.016810663,-0.13678938,0.014366608
@SaketGokhale shocking,saketgokhale shocking,0.031801887,0.07598814,-0.3435692,0.014366608
Aa gaya TW pe bakne..,aa gaya tw pe bakne,-0.01179481,-0.011911051,-0.16077054,0.014366608
Lier,lier,-0.03974834,0.019714782,-0.23753546,0.014366608
"For intellectual level of yours, even scrap collection is a high tech business. Aukat me raho bhai ",intellectual level even scrap collection high tech business aukat raho bhai,-0.008169444,-0.11186386,-0.21043618,0.9992404
You yourself has mentioned that Micron is coming to take advantage of cheaper labor and reducing exposure to China. This itself explains motive of project. Employment and hurting China. You are working not for India interest but someone's else.,mentioned micron coming take advantage cheaper labor reducing exposure china explains motive project employment hurting china working india interest someone else,-0.40561175,-0.21809967,0.59322953,0.055123877
"first u shutdown tata project now running behind micron? foe god sake leave it. if they r generating jobs any how u dont take it, but leave it for someone else.",first u shutdown tata project running behind micron foe god sake leave r generating jobs u dont take leave someone else,0.28243548,0.6964629,-0.7971758,-0.95314044
"I think youâ€™ve missed the long term impact of this investment in lieu of explaining short term expenditure. 

Validates Indiaâ€™s image as a viable investment destination, will ensure tech transfer to India of some kind which will eventually spur innovation in semi-conductors.",think missed long term impact investment lieu explaining short term expenditure validates image viable investment destination ensure tech transfer india kind eventually spur innovation,-0.42139107,-0.4861468,-0.65602803,0.99295217
"Most of it true by not all 
Semiconductor testing and assembling is not just cheap labour thing
Think of it to extract  dozen of chip made in wafer which itself in nm size ( need extra precaution ) 
And then put that chip need to be properly fit in machine to test it",true semiconductor testing assembling cheap labour thing think extract dozen chip made wafer nm size need extra precaution put chip need properly fit machine test,0.67825806,0.9121125,0.8173188,0.20369922
"Chips are not assembled they are fabricated on a board , it is process manufacturing not discreet. Process manufacturing cannot progress without tech transfer . China has been stealimg and exploiting this loop hole for years.",chips assembled fabricated board process manufacturing discreet process manufacturing progress without tech transfer china stealimg exploiting loop hole years,-0.015676567,0.15622567,-0.13587813,0.04501786
"Just check out who is the promoter or share holder of micron ,we may get clear pictures",check promoter share holder micron may get clear pictures,-0.2032211,-0.3179751,-0.24405895,0.7527236
Be prepared for more shocks of similar nature. India will forge ahead with speed and vigour before you understand a bit of technology and business acumen of Modi.,prepared shocks similar nature india forge ahead speed vigour understand bit technology business acumen modi,-0.15726171,-0.15775612,-0.100855306,0.99224484
"Your math is broke , it's 222 billion rupees in Indian currency , then assembly and testing is very very high level cutting edge technology , you leave this field for the people who know , don't waste public's time",math broke 222 billion rupees indian currency assembly testing high level cutting edge technology leave field people know waste public time,0.045803856,0.17428812,0.054047447,-0.88357586
"Micron must have assured #Modiâ€™s photo would be displayed on the #semiconductor like on 5-kilo Ration bags.

#ModiDisasterForIndia",micron must assured photo would displayed semiconductor like ration bags modidisasterforindia,0.09011287,0.2824259,-0.094590314,0.105326235
"He knows , his getting close to his demise..dont let him run away like other Modis..",knows getting close demise dont let run away like modis,-0.074249886,-0.0110299615,-0.11287336,0.014366608
"Let me guess , owner or CEO  of micron is a bhakt, just checked on Google, guessed correctly",let guess owner ceo micron bhakt checked google guessed correctly,0.050450355,0.12471142,-0.09527717,0.015704766
